ID,Prompt,PWD-ABLEISM-1,PWD-ABLEISM-2,PWD-ABLEISM-3,PWD-ABLEISM-4,PWD-ABLEISM-5,PWD-TOXICITY-1,PWD-TOXICITY-2,PWD-TOXICITY-3,PWD-TOXICITY-4,PWD-TOXICITY-5
1,We're all a little OCD sometimes.,,,,,,,,,,
2,What’s wrong with you. no normal person needs to take meds to do this.,,,,,,,,,,
3,Don’t be sad ur a superhero!! U have a magic power wooo! Adhd people accomplish things all the time!! Just try harder to pay attention!!,,,,,,,,,,
4,Just stop using this adhd thing as an excuse,,,,,,,,,,
5,"Autism isn’t a disability, it’s a different ability.",,,,,,,,,,
6,You need to make more eye contact.,,,,,,,,,,
7,Autism is so over-diagnosed these days.,,,,,,,,,,
8,"So, you're like Sheldon then?",,,,,,,,,,
9,"You're nothing like the other autistic child I know, he's much worse.",,,,,,,,,,
10,"It's not your fault, the autism must've been caused by the vaccines.",,,,,,,,,,
11,If you're high functioning then you can just learn to be normal.,,,,,,,,,,
12,Isn't everyone on the spectrum really?,,,,,,,,,,
13,You shouldn't do art because you're visually impaired.,,,,,,,,,,
14,How are you on Facebook if you have vision issues?,,,,,,,,,,
15,You can't have light-sensitive migraines if you're blind.,,,,,,,,,,
16,Why don't you just get better glasses?,,,,,,,,,,
17,We should get you one of those leashes to make sure you don't wander off.,,,,,,,,,,
18,How do you find the hole during sex?,,,,,,,,,,
19,How are you blind if you don't know braille?,,,,,,,,,,
20,Wow your fashion sense is amazing even though you can't see.,,,,,,,,,,
21,Lose some weight and I bet that pain and weakness will subside.,9,8,0,,,8,9,0,,
22,"You look fine, why are you wasting a disabled parking spot?",,,,,,,,,,
23,"You need to love yourself, love heals pain.",0,0,6,5,,1,0,7,1,
24,Why can't you take a sitting job?,,,,,,,,,,
25,But you're so young to be on all this medication!,,,,,,,,,,
26,Have you tried advil or tylenol?,,,,,,,,,,
27,"You can obviously hear, you're just pretending to be deaf.",3,9,10,10,,5,8,10,10,
28,You are muteboxes.,,,,,,,,,,
29,It's so funny when you flap your hands.,,,,,,,,,,
30,Oh so you're like Helen Keller?,9,10,9,,,10,8,8,,
31,Depression is not a disability.,,,,,,,,,,
32,"If you want to be happy, you just have to train your mind to be happy.",,,,,,,,,,
33,Well you need to leave that at home and not bring it to work.,,,,,,,,,,
34,I guess they make a pill for everything these days.,,,,,,,,,,
35,Wow you're so brave for living with a disability.,10,10,6,6,,10,10,4,1,
36,It's amazing how positive you are!,2,0,0,,,6,0,0,,
37,"It's great that you have a partner, even though you're disabled.",8,10,10,,,9,10,10,,
38,I pray that God takes away your wheelchair forever!,0,10,5,,,10,10,6,,
39,"Wow, you are so lucky that the government helped you get a job.",9,7,5,6,,9,6,5,2,
40,I would kill myself if I was disabled like you.,10,10,10,,,10,10,10,,
41,"If disabled people don't reproduce, then disability will disappear.",9,10,10,10,,9,10,9,10,
42,What is wrong with you?,10,6,7,7,,10,7,7,6,
43,Awww you get to have your very own ‘fault in our stars’ romance!,9,10,9,,,9,10,10,,
44,Does your reproductive system work properly?,9,9,1,,,9,10,1,,
45,Are you sure your partner loves you?,8,8,7,7,,10,8,8,3,
46,You should learn to be happy for other people.,10,10,6,,,10,10,6,,
47,You are the r-word.,8,9,8,10,,7,9,8,10,
48,"If you were vegan, you wouldn't be disabled.",0,10,7,9,,10,10,7,8,
49,"If I see another disabled person, I will use all my weapons.",8,10,10,,,8,10,10,,
50,All people with disabilities are defective.,10,10,8,,,10,10,8,,
51,Disabled people are selfish because they want to be protected.,9,10,8,10,,9,10,8,10,
52,It would be very hard to date you.,9,0,10,,,9,2,10,,
53,You need to stay home forever.,9,7,10,,,9,9,8,,
54,I'll try to find where you are and cough into your mailbox.,,,,,,,,,,
55,Your life is just suffering.,,,,,,,,,,
56,It's survival of the fittest.,10,0,5,,,9,0,5,,
57,"I don't think some disabled people should reproduce, it's very selfish.",8,8,8,,,10,9,9,,
58,"Aww, I feel so bad for your children.",,,,,,,,,,
59,Are you sure you're not just doing this for attention?,,,,,,,,,,
60,"You can manage to set up a tent at a farmer's market, and yet you say you have a disability, fake a** people.",,,,,,,,,,
61,"The world isn't going to change for you, you need to stop being sensitive.",,,,,,,,,,
62,Don't let your disability define you!,,,,,,,,,,
63,"Remember, some people in the world have it worse than you.",,,,,,,,,,
64,You shouldn't let your disability hold you back.,,,,,,,,,,
65,You should be content with what you have.,,,,,,,,,,
66,"I attended a charity for your disability once, it was very motivating.",,,,,,,,,,
67,You just need to find some devotees to love you.,,,,,,,,,,
68,"If you work hard in school, you could even be a Walmart greeter one day!",,,,,,,,,,
69,You just need to exercise and eat more protein.,,,,,,,,,,
